customer_id,customer_name,recency_days,frequency_orders,monetary_sales,monetary_profit,r_score,f_score,m_score,customer_segment
BN-11470,Brad Norvell,26,2,338.3,7.85,5,1,1,New Customers
NP-18325,Naresj Patel,27,1,107.94,41.82,5,1,1,New Customers
BF-11080,Bart Folk,27,2,645.28,106.97,5,1,2,New Customers
PB-18805,Patrick Bzostek,27,2,1007.16,221.67,5,2,2,New Customers
AB-10165,Alan Barnes,27,4,905.27,141.73,5,3,2,Potential Loyalists
RB-19570,Rob Beeghly,27,5,926.55,76.89,5,4,2,Potential Loyalists
QJ-19255,Quincy Jones,27,5,1522.78,69.18,5,4,3,Loyal Customers
SM-20950,Suzanne McNair,27,6,2599.59,485.29,5,5,4,Champions
CS-11950,Carlos Soltero,27,8,2180.36,-54.82,5,5,4,Champions
LT-16765,Larry Tron,28,1,178.35,23.23,5,1,1,New Customers
MS-17980,Michael Stewart,28,1,920.01,-20.38,4,1,2,New Customers
KE-16420,Katrina Edelman,28,3,498.21,0.61,4,2,1,New Customers
LR-16915,Lena Radford,28,4,2668.93,-99.89,4,3,4,Loyal Customers
CS-12250,Chris Selesnick,28,6,1471.99,196.4,4,5,3,Loyal Customers
DO-13645,Doug O'Connell,28,6,1836.68,267.24,4,5,3,Loyal Customers
CM-12160,Charles McCrossin,28,6,1959.31,-394.37,4,5,3,Loyal Customers
CB-12415,Christy Brittain,28,7,2126.78,275.88,4,5,4,Champions
CS-12460,Chuck Sachs,29,2,939.64,156.26,4,2,2,New Customers
CC-12550,Clay Cheatham,29,3,541.83,33.87,4,2,1,New Customers
MC-17575,Matt Collins,29,4,3997.68,154.32,4,4,5,Champions
CM-12655,Corinna Mitchell,29,4,4621.09,1455.83,4,4,5,Champions
MV-17485,Mark Van Huff,29,6,1590.76,174.95,4,5,3,Loyal Customers
ND-18370,Natalie DeCherney,29,6,1959.5,-24.77,4,5,3,Loyal Customers
TC-21295,Toby Carlisle,29,6,2599.6,203.84,4,5,4,Champions
LC-16870,Lena Cacioppo,29,6,3158.72,-295.89,4,5,5,Champions
JK-16090,Juliana Krohn,30,2,1192.58,357.77,4,2,2,New Customers
KM-16720,Kunst Miller,30,2,1383.21,419.59,4,2,3,New Customers
AM-10360,Alice McCarthy,30,3,909.96,8.41,4,2,2,New Customers
BS-11380,Bill Stewart,30,3,3111.86,-228.1,4,3,4,Loyal Customers
GW-14605,Giulietta Weimer,30,4,724.3,-406.51,4,3,2,Potential Loyalists
BG-11035,Barry Gonzalez,30,4,964.64,233.91,4,3,2,Potential Loyalists
RP-19855,Roy Phan,30,5,954.54,162.85,4,4,2,Potential Loyalists
ME-17725,Max Engle,30,5,2741.04,21.77,4,4,4,Champions
JS-16030,Joy Smith,30,5,3197.04,-314.66,4,4,5,Champions
VW-21775,Victoria Wilson,30,5,4082.23,377.07,4,4,5,Champions
AS-10090,Adam Shillingsburg,30,6,2066.19,-308.88,4,5,4,Champions
MK-17905,Michael Kennedy,30,6,2173.58,-449.18,4,5,4,Champions
ES-14080,Erin Smith,30,7,3687.88,140.07,4,5,5,Champions
BB-11545,Brenda Bowman,30,7,6183.56,1092.92,4,5,5,Champions
JH-15985,Joseph Holt,31,3,810.47,140.7,4,2,2,New Customers
DV-13465,Dianna Vittorini,31,3,1726.02,241.6,4,3,3,Loyal Customers
SJ-20215,Sarah Jordon,31,4,1409.76,-29.42,4,3,3,Loyal Customers
SO-20335,Sean O'Donnell,31,4,1473.06,201.23,4,3,3,Loyal Customers
AD-10180,Alan Dominguez,31,4,5924.89,1866.93,4,4,5,Champions
SC-20305,Sean Christensen,31,5,1334.55,135.76,4,4,3,Loyal Customers
CC-12670,Craig Carreira,31,5,2000.87,168.01,4,4,3,Loyal Customers
MY-17380,Maribeth Yedwab,31,6,2617.53,316.47,4,5,4,Champions
MG-17650,Matthew Grinstein,31,6,2846.94,317.53,4,5,4,Champions
ML-17755,Max Ludwig,31,7,2649.91,409.51,4,5,4,Champions
SH-19975,Sally Hughsby,31,11,3381.49,447.91,4,5,5,Champions
VP-21730,Victor Preis,32,2,1099.9,196.46,4,2,2,New Customers
HP-14815,Harold Pawlan,32,2,1613.29,293.88,4,2,3,New Customers
SC-20800,Stuart Calhoun,32,3,291.93,11.19,4,2,1,New Customers
MZ-17335,Maria Zettner,32,3,427.64,15.66,4,2,1,New Customers
SW-20275,Scott Williamson,32,5,2192.27,322.13,4,4,4,Champions
TB-21625,Trudy Brown,32,5,2590.86,304.35,4,4,4,Champions
SC-20380,Shahid Collister,32,6,5948.11,245.29,4,5,5,Champions
PN-18775,Parhena Norris,32,7,2012.0,185.58,4,5,4,Champions
TT-21070,Ted Trevino,33,3,4021.15,425.42,4,3,5,Loyal Customers
DG-13300,Deirdre Greer,34,2,653.29,540.29,4,1,2,New Customers
RH-19495,Rick Hansen,34,3,411.66,48.2,4,2,1,New Customers
RB-19795,Ross Baird,34,6,3175.86,-450.76,4,5,5,Champions
RP-19390,Resi Pölking,35,3,898.83,182.72,4,2,2,New Customers
JR-16210,Justin Ritter,35,4,1739.57,299.99,4,3,3,Loyal Customers
DB-13615,Doug Bickford,35,5,1327.77,83.22,4,4,3,Loyal Customers
LW-16990,Lindsay Williams,35,6,3669.31,662.83,4,5,5,Champions
BM-11650,Brian Moss,35,6,3956.28,1936.15,4,5,5,Champions
BD-11320,Bill Donatelli,35,10,3740.93,295.01,4,5,5,Champions
GT-14755,Guy Thornton,36,3,405.83,-33.34,4,2,1,New Customers
LS-17245,Lynn Smith,36,3,493.21,112.96,4,2,1,New Customers
CC-12610,Corey Catlett,36,4,603.09,-168.5,4,3,2,Potential Loyalists
LT-17110,Liz Thompson,36,4,1031.12,6.35,4,3,2,Potential Loyalists
MN-17935,Michael Nguyen,36,4,3942.57,259.65,4,4,5,Champions
FG-14260,Frank Gastineau,36,5,1012.02,80.43,4,4,2,Potential Loyalists
AH-10075,Adam Hart,36,8,3900.11,278.45,4,5,5,Champions
TZ-21580,Tracy Zic,37,2,593.01,77.31,4,1,2,New Customers
BS-11590,Brendan Sweed,37,2,748.36,180.83,4,2,2,New Customers
BD-11500,Bradley Drucker,37,2,3567.63,762.07,4,2,5,New Customers
RO-19780,Rose O'Brian,37,4,2374.93,-264.58,4,3,4,Loyal Customers
HZ-14950,Henia Zydlo,37,5,3237.52,-130.39,4,4,5,Champions
SZ-20035,Sam Zeldin,37,7,2086.03,99.75,4,5,4,Champions
EB-13750,Edward Becker,37,8,2046.7,-257.7,4,5,4,Champions
PR-18880,Patrick Ryan,38,2,1986.93,207.35,4,2,3,New Customers
SC-20440,Shaun Chance,38,3,826.69,4.29,4,2,2,New Customers
TS-21370,Todd Sumrall,38,3,6952.29,1218.01,4,3,5,Loyal Customers
MD-17860,Michael Dominguez,38,4,1410.13,43.3,4,3,3,Loyal Customers
BG-11695,Brooke Gillingham,38,4,1952.09,69.58,4,3,3,Loyal Customers
KA-16525,Kelly Andreada,38,4,3368.94,107.94,4,4,5,Champions
RS-19765,Roland Schwarz,38,5,2465.81,649.39,4,4,4,Champions
FM-14290,Frank Merwin,38,7,4737.66,174.1,4,5,5,Champions
GT-14710,Greg Tran,38,8,3629.15,450.46,4,5,5,Champions
PG-18820,Patrick Gardner,38,9,3053.23,647.69,4,5,4,Champions
CM-12385,Christopher Martinez,39,2,2650.76,702.43,4,2,4,New Customers
JM-15265,Janet Molinari,39,3,1491.49,455.82,4,2,3,New Customers
JP-15460,Jennifer Patt,39,5,1754.21,318.0,4,4,3,Loyal Customers
DC-12850,Dan Campbell,39,6,3834.01,-1368.66,4,5,5,Champions
JM-15250,Janet Martin,39,6,4155.12,19.82,4,5,5,Champions
TD-20995,Tamara Dahlen,39,7,2228.5,83.85,4,5,4,Champions
FH-14275,Frank Hawley,39,8,3570.92,776.1,4,5,5,Champions
FO-14305,Frank Olsen,40,6,1086.47,-48.41,4,4,2,Potential Loyalists
BP-11230,Benjamin Patterson,41,3,201.6,30.91,4,2,1,New Customers
BF-11005,Barry Franz,41,3,1788.3,-293.75,4,3,3,Loyal Customers
PJ-18835,Patrick Jones,41,5,546.51,52.16,4,4,1,Potential Loyalists
CC-12475,Cindy Chapman,41,8,2094.04,151.47,4,5,4,Champions
CK-12205,Chloris Kastensmidt,41,8,3069.11,52.76,4,5,4,Champions
LP-17080,Liz Pelletier,42,3,1102.33,109.82,4,2,2,New Customers
CD-11920,Carlos Daly,42,3,1976.15,397.21,4,3,3,Loyal Customers
ES-14020,Erica Smith,42,3,3514.32,944.02,4,3,5,Loyal Customers
KH-16330,Katharine Harms,42,5,2881.86,193.92,4,4,4,Champions
SC-20050,Sample Company A,42,7,1763.21,238.11,4,5,3,Loyal Customers
AS-10135,Adrian Shami,43,2,265.82,21.85,4,1,1,New Customers
KD-16345,Katherine Ducich,43,2,337.28,20.36,4,1,1,New Customers
NC-18415,Nathan Cano,43,2,2207.53,-2251.08,4,2,4,New Customers
AB-10150,Aimee Bixby,43,3,633.21,45.45,4,2,2,New Customers
DD-13570,Dorothy Dickinson,43,4,646.3,45.07,4,3,2,Potential Loyalists
MC-18100,Mick Crebagga,43,4,1478.22,27.6,4,3,3,Loyal Customers
JD-16150,Justin Deggeller,43,4,4947.65,1389.33,4,4,5,Champions
JH-15910,Jonathan Howell,43,5,892.63,-62.21,4,4,2,Potential Loyalists
AP-10720,Anne Pryor,43,6,1599.32,232.5,4,5,3,Loyal Customers
AF-10870,Art Ferguson,43,6,2482.13,315.95,4,5,4,Champions
SC-20770,Stewart Carmichael,43,6,4447.04,-818.91,4,5,5,Champions
LC-16930,Linda Cazamias,43,7,4550.32,258.93,4,5,5,Champions
AB-10105,Adrian Barton,43,8,6276.91,5088.94,4,5,5,Champions
RD-19930,Russell D'Ascenzo,44,2,589.07,19.34,4,1,2,New Customers
CD-12280,Christina DeMoss,44,2,1889.58,233.03,4,2,3,New Customers
JS-15685,Jim Sink,44,4,1699.06,-54.87,4,3,3,Loyal Customers
DK-13090,Dave Kipp,44,5,3246.19,362.69,4,4,5,Champions
JW-15220,Jane Waco,44,5,7933.55,2084.51,4,4,5,Champions
ME-17320,Maria Etezadi,44,8,6665.06,525.54,4,5,5,Champions
RA-19885,Ruben Ausman,45,4,2082.18,514.71,4,3,4,Loyal Customers
HL-15040,Hunter Lopez,45,4,6091.11,5174.4,4,4,5,Champions
CC-12370,Christopher Conant,45,5,6362.07,2177.05,4,4,5,Champions
JB-16000,Joy Bell-,45,7,908.12,126.76,4,5,2,Potential Loyalists
GG-14650,Greg Guthrie,45,7,1793.27,5.87,4,5,3,Loyal Customers
XP-21865,Xylona Preis,45,7,1797.69,394.47,4,5,3,Loyal Customers
CK-12595,Clytie Kelty,45,8,2046.99,533.16,4,5,4,Champions
EK-13795,Eileen Kiefer,46,1,129.36,6.07,4,1,1,New Customers
MW-18235,Mitch Willingham,46,1,1931.98,216.0,4,1,3,New Customers
JK-15370,Jay Kimmel,46,5,1584.78,162.95,4,4,3,Loyal Customers
MB-18085,Mick Brown,46,6,1736.69,112.92,4,5,3,Loyal Customers
DK-12895,Dana Kaydos,47,3,2077.55,328.05,4,3,4,Loyal Customers
AW-10930,Arthur Wiediger,48,5,2642.82,-126.23,4,4,4,Champions
JE-15715,Joe Elijah,48,7,7709.99,1271.09,4,5,5,Champions
PW-19030,Pauline Webber,48,8,3463.15,771.2,4,5,5,Champions
EM-14065,Erin Mull,49,3,300.05,-19.11,4,2,1,New Customers
SB-20290,Sean Braxton,49,3,1817.31,-890.16,4,3,3,Loyal Customers
SP-20620,Stefania Perrino,49,5,5433.25,-337.26,4,4,5,Champions
CB-12025,Cassandra Brandow,49,6,2153.05,-78.51,4,5,4,Champions
KL-16645,Ken Lonsdale,49,7,5099.09,158.72,4,5,5,Champions
NG-18430,Nathan Gelder,50,1,924.16,28.27,4,1,2,New Customers
DB-13120,David Bremer,50,2,905.54,-1136.72,4,2,2,New Customers
LB-16735,Larry Blacks,50,3,204.19,18.65,4,2,1,New Customers
NG-18355,Nat Gilpin,50,3,2489.06,86.5,4,3,4,Loyal Customers
SF-20965,Sylvia Foulston,50,4,2302.26,78.68,4,3,4,Loyal Customers
EM-14140,Eugene Moren,50,4,4163.8,1045.74,4,4,5,Champions
MB-17305,Maria Bertelson,50,5,1450.14,148.59,4,4,3,Loyal Customers
EB-13705,Ed Braxton,50,5,2625.72,93.02,4,4,4,Champions
JE-15610,Jim Epp,50,5,4824.41,1725.79,4,4,5,Champions
DJ-13510,Don Jones,50,7,3413.9,157.51,4,5,5,Champions
TB-21190,Thomas Brumley,51,2,266.72,13.98,4,1,1,New Customers
MH-18025,Michelle Huthwaite,51,3,2451.22,375.09,4,3,4,Loyal Customers
MT-17815,Meg Tillman,51,4,3002.9,507.23,4,3,4,Loyal Customers
JL-15505,Jeremy Lonsdale,51,4,3751.35,550.44,4,4,5,Champions
CG-12040,Catherine Glotzbach,51,5,1089.71,80.75,4,4,2,Potential Loyalists
GH-14425,Gary Hwang,52,1,129.79,43.6,4,1,1,New Customers
AB-10600,Ann Blume,52,1,1680.05,-256.57,3,1,3,Potential Loyalists
DR-12940,Daniel Raglin,52,4,6408.62,2549.73,3,4,5,Loyal Customers
PM-19135,Peter McVee,53,3,329.69,99.94,3,2,1,Potential Loyalists
MC-17590,Matt Collister,53,4,1165.0,426.19,3,3,2,Potential Loyalists
JE-15745,Joel Eaton,53,7,2878.24,686.76,3,5,4,Loyal Customers
KN-16450,Kean Nguyen,54,1,291.2,112.42,3,1,1,Potential Loyalists
EC-14050,Erin Creighton,55,4,837.43,100.45,3,3,2,Potential Loyalists
DB-13270,Deborah Brumfield,55,5,2769.89,795.01,3,4,4,Loyal Customers
RB-19705,Roger Barcio,56,2,2030.87,325.85,3,2,4,Potential Loyalists
CD-11980,Carol Darley,56,3,913.77,-206.72,3,2,2,Potential Loyalists
HG-14845,Harry Greene,56,3,1328.32,127.41,3,2,3,Potential Loyalists
LC-17050,Liz Carlisle,56,3,1595.96,214.87,3,3,3,Loyal Customers
VB-21745,Victoria Brennan,56,4,1809.41,286.63,3,3,3,Loyal Customers
VM-21685,Valerie Mitchum,56,5,2564.05,439.1,3,4,4,Loyal Customers
ML-17410,Maris LaWare,56,5,2868.77,-330.42,3,4,4,Loyal Customers
JF-15565,Jill Fjeld,56,5,3422.19,847.31,3,4,5,Loyal Customers
ZC-21910,Zuschuss Carroll,56,7,4130.8,-1668.67,3,5,5,Loyal Customers
AB-10060,Adam Bellavance,56,7,8167.08,2045.87,3,5,5,Loyal Customers
AA-10645,Anna Andreadi,57,3,1757.14,340.85,3,3,3,Loyal Customers
AH-10195,Alan Haines,57,3,1779.51,-366.0,3,3,3,Loyal Customers
EM-13825,Elizabeth Moffitt,57,5,2260.43,436.09,3,4,4,Loyal Customers
TS-21610,Troy Staebel,57,6,2438.33,-67.21,3,5,4,Loyal Customers
GT-14635,Grant Thornton,58,1,3208.42,-3825.34,3,1,5,Potential Loyalists
KM-16375,Katherine Murray,58,4,2364.32,-11.45,3,3,4,Loyal Customers
CA-12265,Christina Anderson,58,6,2215.49,144.27,3,5,4,Loyal Customers
DL-12925,Daniel Lacy,59,1,364.9,24.87,3,1,1,Potential Loyalists
DL-13330,Denise Leinenbach,59,2,174.79,22.59,3,1,1,Potential Loyalists
BF-11275,Beth Fritzler,59,2,520.29,38.0,3,1,1,Potential Loyalists
JC-16105,Julie Creighton,59,2,649.31,62.3,3,1,2,Potential Loyalists
PB-19105,Peter Bühler,59,3,379.67,14.09,3,2,1,Potential Loyalists
KC-16675,Kimberly Carter,59,3,1307.66,150.96,3,2,3,Potential Loyalists
BG-11740,Bruce Geld,59,4,1009.46,101.05,3,3,2,Potential Loyalists
CR-12580,Clay Rozendal,59,4,2212.85,74.4,3,3,4,Loyal Customers
EJ-14155,Eva Jacobs,59,4,2244.34,475.36,3,3,4,Loyal Customers
JM-16195,Justin MacKendrick,59,5,1265.14,258.54,3,4,2,Potential Loyalists
DM-13015,Darrin Martin,59,5,2554.19,71.11,3,4,4,Loyal Customers
JO-15145,Jack O'Briant,59,5,3155.18,480.39,3,4,5,Loyal Customers
PG-18895,Paul Gonzalez,59,6,1195.37,230.51,3,4,2,Potential Loyalists
NL-18310,Nancy Lomonaco,60,2,1639.76,301.1,3,2,3,Potential Loyalists
TH-21115,Thea Hudgings,60,3,3301.65,-258.0,3,3,5,Loyal Customers
TB-21175,Thomas Boland,60,3,3769.88,823.12,3,3,5,Loyal Customers
